"titre_clean","auteurs","annee_extrait","type_doc_std","mots_cles","methode_instruments","methode_analyse"
"romantic attachment and sexual satisfaction trajectories among couples transitioning to parenthood","Bourque-Morel, Gabrielle / Grenier, Laurence / Arseneault, Laurie / Vaillancourt, Shalie-Emma / Brassard, Audrey / Brault-Labbé, Anne / Lafontaine, Marie-France / Péloquin, Katherine",2025,"Article","grossesse / satisfaction sexuelle / couple / attachement / parentalité / primipare / transition","Questionnaires","Analyse statistique"
"the psychosocial dimension of housing in nunavik: does social support vary with household crowding?","Simard, Charles-Olivier / Riva, Mylene / Dufresne, Philippe / Perreault, Karine / Muckle, Gina / Poliakova, Natalia / Desrochers-Couture, Mireille / Fletcher, Christopher / Moisan, Caroline / Fraser, Sarah / Bélanger,Richard / Courtemanche, Yohann / Bignami, Simona",2024,"Article","inuit / nunavik / ménage / soutien social / logement / surpeuplement / milieu familial","Questionnaires","Analyse statistique"
"disentangling support for violent and non-violent radicalization among adolescents: a latent profile analysis","Miconi, Diana / Njingouo Mounchingam, Aoudou / Zambelli, Michela / Rousseau, Cécile",2024,"Article","violence / adversité / adolescent | adolescente / école / radicalisation / discrimination / profil / soutien familial","Questionnaire","Analyse statistique"
"ladaptation psychologique des adolescents à la suite dune séparation parentale : contribution des expériences adverses à lenfance","Chabot, Sarah",2024,"Thèse/Mémoire","adversité / séparation / adaptation socioémotionnelle / enfance / adolescent | adolescente / jeune adulte / trouble intériorisé / trouble extériorisé","Questionnaires","Analyse statistique"
"romantic attachment, sex motives and sexual difficulties in emerging adults: the role of childhood interpersonal victimization","Dugal, Caroline / Brassard, Audrey / Kusion, Pierre-Yves / Lefebvre, Audrey-Ann / Péloquin, Katherine / Godbout, Natacha",2024,"Article","attachement / enfance / victimisation / sexualité / motivation / difficulté / adulte","Questionnaires","Analyse statistique"
"the intensity of formal child-care attendance decreases the shared environment contribution to school readiness: a twin study","Gagnon, Eloi / Boivin, Michel / Mimeau, Catherine / Feng, Bei / Morneau-Vaillancourt, Genevieve / Aubé, Sophie / Brendgen, Mara / Vitaro, Frank / Dionne, Ginette",2024,"Article","jumeau | jumelle / service de garde / préparation scolaire / environnement familial / petite enfance / approche longitudinale / génétique","Questionnaires","Analyse statistique"
"la réponse perçue aux besoins et la reconnaissance des émotions modèrent la relation entre le vécu de maltraitance des mères et les comportements sensibles","Pichette, Valérie",2024,"Thèse/Mémoire","maltraitance / sensibilité maternelle / émotion / relation mère-enfant / besoin / dyade / comportement parental","Questionnaires","Analyse statistique"
"reading in two languages: parents strategy and language use across book formats during bilingual shared reading","Quirk, Erin / Brouillard, Melanie / Byers-Heinlein, Krista",2024,"Article","langage / relation parent-enfant / apprentissage / lecture / français / anglais / stratégie / dyade","- Questionnaires- Grille d’observation","Analyse statistique"
"suicidal ideation in canadian family caregivers for a person with dementia: a portrait of the situation","Teasdale-Dubé, Audrée / Viau-Quesnel, Charles / Lapierre, Sylvie",2024,"Article","suicide / proche aidant | proche aidante / démence / santé mentale / détresse psychologique / facteur de risque / maltraitance","Questionnaires","Analyse statistique"
"mechanisms and pathways linking kindergarten behavior problems with mid‐life employment earnings for males from low‐income neighborhoods","Vergunst, Francis / Vitaro, Frank / Brendgen, Mara / Larose,Marie‐Pier / Girard, Alain / Tremblay, Richard E. / Côté, Sylvana M.",2024,"Article","adversité / problème de comportement / revenu / maternelle / trajectoire / statut socioéconomique / délinquance","- Données administratives- Questionnaires","Analyse statistique"
"the relationship between perceived parenting practices and anxiety in adults with congenital heart disease","Houchi, Cylia / Marcil, Marie-Joëlle / Nadarajah, Kishani / Mageau, Geneviève A. / Khairy, Paul / Marin, Marie-France / Cossette, Mariève / Dubé, Marie-Pierre / Chaix, Marie-A / Mongeon, François-Pierre / Dore, Annie / Mondésert, Blandine / Ibrahim, Reda / Brouillette, Judith",2024,"Article","pratique parentale / relation parent-enfant / maladie / anxiété / perception / pédiatrie","-	Questionnaires-	Données administratives","Analyse statistique"
"children of extremist parents: insights from a specialized clinical team","Rousseau, Cécile / Miconi, Diana / Johnson-Lafleur, Janique / Desmarais, Christian / Hassan, Ghayda",2024,"Article","aliénation parentale / conflit / violence / parent | parents / services sociaux / stéréotype / protection de la jeunesse","-	Données administratives-	Guide d’entretien semi-directif","Analyse de contenuAnalyse statistique"
"explorer les représentations de soi et de la famille denfants de 10 à 12 ans qui vivent au saguenay-lac-saint-jean à partir de leurs dessins et de leurs paroles","Zenetzis, Claudia",2024,"Thèse/Mémoire","enfant / grand-parent | grands-parents / dessin / milieu rural / saguenay – lac-saint-jean / identité / représentation / école primaire","Guide d’entretien semi-directif","Analyse de contenu"
"le soutien parental à lautonomie et la santé mentale des enfants : un regard sur le rôle de la hiérarchie culturelle","Saïb, Naïla",2024,"Thèse/Mémoire","autonomie / santé mentale / soutien parental / pratique parentale / enfance / adolescence / fonctionnement psychosocial","Questionnaires","Analyse statistique"
"symptoms and psychological factors linked to anxiety impairment in adolescents","Dion, Vincent / Brizard, Nicolas / Jalbert, Jonathan / Sirois, Patricia / Gosselin, Patrick / Brisson, Mallorie / Lane, Julie / Therriault, Danyka / Roberge, Pasquale",2024,"Article","anxiété / fonctionnement psychosocial / structure familiale / adolescent | adolescente / dépression / détresse psychologique","Questionnaires","Analyse statistique"
"validation of the french–canadian version of the covid-19 peritraumatic distress index with parents of an infant","Lassance, Luciana / Bélanger, Claude / Baumann, Mathilde / Paradis, Alison / Dion, Jacinthe / Godbout, Natacha",2024,"Article","covid-19 / parent | parents / traumatisme / détresse / périnatalité / dépression post-partum / nourrisson","Questionnaires","Analyse statistique"
"diseases of despair in early adulthood: the complex role of social relationships","Dupéré, Véronique / Dion, Eric / Pelletier-Dumas, Mathieu / Lacourse, Eric / Archambault, Isabelle / Cantin, Stéphane / Ahn, Jiseul Sophia",2024,"Article","dépression / toxicomanie / éducation / relation interpersonnelle / relation sociale / relation parent-enfant / jeune adulte","Questionnaire","Analyse statistique"
"the intergenerational continuity of alcohol use in a population sample","Bernard, Gabriel / Paradis, Hélène / Côté, Sylvana / Tremblay, Richard E. / Boivin, Michel / Petitclerc, Amélie",2024,"Article","transmission intergénérationnelle / alcool / développement / approche longitudinale / trajectoire / toxicomanie","Questionnaires","Analyse statistique"
"la stigmatisation basée sur le poids et les comportements alimentaires au sein du couple","Talbot, Marie-Ève",2024,"Thèse/Mémoire","couple / obésité / stigmatisation / dyade / émotion / habitude alimentaire","Questionnaires","Analyse statistique"
"profiles of father involvement following parental separation","Larouche, Karl / Pierce, Tamarha / Drapeau, Sylvie / Saint-Jacques, Marie-Christine",2024,"Article","rupture conjugale / relation père-enfant / engagement paternel / profil / garde de l’enfant","Questionnaires","Analyse statistique"
"what is vulnerability? quebec community family workers perceptions of family situations in cases of child neglect","De Boer, Savannah / Lacharité, Carl / Dubois-Comtois, Karine",2024,"Article","vulnérabilité / intervenant | intervenante / intervention psychosociale / protection de la jeunesse / négligence / enfant / facteur de risque / parent | parents","Guide d’entretien semi-directif","Analyse de contenu"
"addressing sexual issues in couples seeking relationship therapy","Emond, Marianne / Byers, E. Sandra / Brassard, Audrey / Tremblay, Nadine / Péloquin, Katherine",2024,"Article","thérapie de couple / partenaire / sexualité / satisfaction sexuelle / satisfaction conjugale","Questionnaires","Analyse statistique"
